Year,CatGroup,Category,Region,Net sales [k$],Cost of sales [k$],Gross margin [k$],Operating expenses [k$],Operating income [k$],"Taxes, other expenses [k$]",Net income [k$],Net sales by Categories [k$]
2022,Products,iPhone,Americas,13144,7452,5693,1712,3981,654,3327,34248
2022,Products,iPhone,Europe,13144,7452,5693,1712,3981,654,3327,34248
2022,Products,iPhone,China,13144,7452,5693,1712,3981,654,3327,34248
2022,Products,iPhone,Japan,13144,7452,5693,1712,3981,654,3327,34248
2022,Products,iPhone,Asia Pacific,13144,7452,5693,1712,3981,654,3327,34248
2022,Products,iPhone,Retail,13144,7452,5693,1712,3981,654,3327,34248
2022,Products,Mac,Americas,13144,7452,5693,1712,3981,654,3327,6696
2022,Products,Mac,Europe,13144,7452,5693,1712,3981,654,3327,6696
2022,Products,Mac,China,13144,7452,5693,1712,3981,654,3327,6696
2022,Products,Mac,Japan,13144,7452,5693,1712,3981,654,3327,6696
2022,Products,Mac,Asia Pacific,13144,7452,5693,1712,3981,654,3327,6696
2022,Products,Mac,Retail,13144,7452,5693,1712,3981,654,3327,6696
2022,Products,iPad,Americas,13144,7452,5693,1712,3981,654,3327,4882
2022,Products,iPad,Europe,13144,7452,5693,1712,3981,654,3327,4882
2022,Products,iPad,China,13144,7452,5693,1712,3981,654,3327,4882
2022,Products,iPad,Japan,13144,7452,5693,1712,3981,654,3327,4882
2022,Products,iPad,Asia Pacific,13144,7452,5693,1712,3981,654,3327,4882
2022,Products,iPad,Retail,13144,7452,5693,1712,3981,654,3327,4882
2022,Products,Accessories,Americas,13144,7452,5693,1712,3981,654,3327,6874
2022,Products,Accessories,Europe,13144,7452,5693,1712,3981,654,3327,6874
2022,Products,Accessories,China,13144,7452,5693,1712,3981,654,3327,6874
2022,Products,Accessories,Japan,13144,7452,5693,1712,3981,654,3327,6874
2022,Products,Accessories,Asia Pacific,13144,7452,5693,1712,3981,654,3327,6874
2022,Products,Accessories,Retail,13144,7452,5693,1712,3981,654,3327,6874
2022,Services,Services,Americas,13144,7452,5693,1712,3981,654,3327,13022
2022,Services,Services,Europe,13144,7452,5693,1712,3981,654,3327,13022
2022,Services,Services,China,13144,7452,5693,1712,3981,654,3327,13022
2022,Services,Services,Japan,13144,7452,5693,1712,3981,654,3327,13022
2022,Services,Services,Asia Pacific,13144,7452,5693,1712,3981,654,3327,13022
2022,Services,Services,Retail,13144,7452,5693,1712,3981,654,3327,13022
2021,Products,iPhone,Americas,12194,7099,5095,1463,3632,476,3156,31996
2021,Products,iPhone,Europe,12194,7099,5095,1463,3632,476,3156,31996
2021,Products,iPhone,China,12194,7099,5095,1463,3632,476,3156,31996
2021,Products,iPhone,Japan,12194,7099,5095,1463,3632,476,3156,31996
2021,Products,iPhone,Asia Pacific,12194,7099,5095,1463,3632,476,3156,31996
2021,Products,iPhone,Retail,12194,7099,5095,1463,3632,476,3156,31996
2021,Products,Mac,Americas,12194,7099,5095,1463,3632,476,3156,5865
2021,Products,Mac,Europe,12194,7099,5095,1463,3632,476,3156,5865
2021,Products,Mac,China,12194,7099,5095,1463,3632,476,3156,5865
2021,Products,Mac,Japan,12194,7099,5095,1463,3632,476,3156,5865
2021,Products,Mac,Asia Pacific,12194,7099,5095,1463,3632,476,3156,5865
2021,Products,Mac,Retail,12194,7099,5095,1463,3632,476,3156,5865
2021,Products,iPad,Americas,12194,7099,5095,1463,3632,476,3156,5310
2021,Products,iPad,Europe,12194,7099,5095,1463,3632,476,3156,5310
2021,Products,iPad,China,12194,7099,5095,1463,3632,476,3156,5310
2021,Products,iPad,Japan,12194,7099,5095,1463,3632,476,3156,5310
2021,Products,iPad,Asia Pacific,12194,7099,5095,1463,3632,476,3156,5310
2021,Products,iPad,Retail,12194,7099,5095,1463,3632,476,3156,5310
2021,Products,Accessories,Americas,12194,7099,5095,1463,3632,476,3156,6395
2021,Products,Accessories,Europe,12194,7099,5095,1463,3632,476,3156,6395
2021,Products,Accessories,China,12194,7099,5095,1463,3632,476,3156,6395
2021,Products,Accessories,Japan,12194,7099,5095,1463,3632,476,3156,6395
2021,Products,Accessories,Asia Pacific,12194,7099,5095,1463,3632,476,3156,6395
2021,Products,Accessories,Retail,12194,7099,5095,1463,3632,476,3156,6395
2021,Services,Services,Americas,12194,7099,5095,1463,3632,476,3156,11404
2021,Services,Services,Europe,12194,7099,5095,1463,3632,476,3156,11404
2021,Services,Services,China,12194,7099,5095,1463,3632,476,3156,11404
2021,Services,Services,Japan,12194,7099,5095,1463,3632,476,3156,11404
2021,Services,Services,Asia Pacific,12194,7099,5095,1463,3632,476,3156,11404
2021,Services,Services,Retail,12194,7099,5095,1463,3632,476,3156,11404
2020,Products,iPhone,,274515,169559,104956,38668,66288,8877,57411,137781
2020,Products,Mac,,274515,169559,104956,38668,66288,8877,57411,28622
2020,Products,iPad,,274515,169559,104956,38668,66288,8877,57411,23724
2020,Products,Accessories,,274515,169559,104956,38668,66288,8877,57411,30620
2020,Services,Services,,274515,169559,104956,38668,66288,8877,57411,53768
2019,Products,iPhone,,260174,161782,98392,34462,63930,8674,55256,142381
2019,Products,Mac,,260174,161782,98392,34462,63930,8674,55256,25740
2019,Products,iPad,,260174,161782,98392,34462,63930,8674,55256,21280
2019,Products,Accessories,,260174,161782,98392,34462,63930,8674,55256,24482
2019,Services,Services,,260174,161782,98392,34462,63930,8674,55256,46291
2018,Products,iPhone,,265595,163756,101839,30941,70898,11367,59531,164888
2018,Products,Mac,,265595,163756,101839,30941,70898,11367,59531,25198
2018,Products,iPad,,265595,163756,101839,30941,70898,11367,59531,18380
2018,Products,Accessories,,265595,163756,101839,30941,70898,11367,59531,17381
2018,Services,Services,,265595,163756,101839,30941,70898,11367,59531,39748
2017,Products,iPhone,,229234,141048,88186,26842,61344,12993,48351,139337
2017,Products,Mac,,229234,141048,88186,26842,61344,12993,48351,25569
2017,Products,iPad,,229234,141048,88186,26842,61344,12993,48351,18802
2017,Products,Accessories,,229234,141048,88186,26842,61344,12993,48351,12826
2017,Services,Services,,229234,141048,88186,26842,61344,12993,48351,32700
2016,Products,iPhone,,215639,131376,84263,24239,60024,14337,45687,136700
2016,Products,Mac,,215639,131376,84263,24239,60024,14337,45687,22831
2016,Products,iPad,,215639,131376,84263,24239,60024,14337,45687,20628
2016,Products,Accessories,,215639,131376,84263,24239,60024,14337,45687,11132
2016,Services,Services,,215639,131376,84263,24239,60024,14337,45687,24348
2015,Products,iPhone,,233715,140089,93626,22396,71230,17836,53394,155041
2015,Products,Mac,,233715,140089,93626,22396,71230,17836,53394,25471
2015,Products,iPad,,233715,140089,93626,22396,71230,17836,53394,23227
2015,Products,Accessories,,233715,140089,93626,22396,71230,17836,53394,10067
2015,Services,Services,,233715,140089,93626,22396,71230,17836,53394,19909
2014,Products,iPhone,,182795,112258,70537,18034,52503,12993,39510,101991
2014,Products,Mac,,182795,112258,70537,18034,52503,12993,39510,24079
2014,Products,iPad,,182795,112258,70537,18034,52503,12993,39510,30283
2014,Products,Accessories,,182795,112258,70537,18034,52503,12993,39510,8379
2014,Services,Services,,182795,112258,70537,18034,52503,12993,39510,18063
2013,Products,iPhone,,170910,106606,64304,15305,48999,11962,37037,91279
2013,Products,Mac,,170910,106606,64304,15305,48999,11962,37037,21483
2013,Products,iPad,,170910,106606,64304,15305,48999,11962,37037,31980
2013,Products,Accessories,,170910,106606,64304,15305,48999,11962,37037,10117
2013,Services,Services,,170910,106606,64304,15305,48999,11962,37037,16051
2012,Products,iPhone,,156508,87846,68662,13421,55241,13508,41733,78692
2012,Products,Mac,,156508,87846,68662,13421,55241,13508,41733,23221
2012,Products,iPad,,156508,87846,68662,13421,55241,13508,41733,30945
2012,Products,Accessories,,156508,87846,68662,13421,55241,13508,41733,10760
2012,Services,Services,,156508,87846,68662,13421,55241,13508,41733,12890
2011,Products,iPhone,,108249,64431,43818,10028,33790,7868,25922,45998
2011,Products,Mac,,108249,64431,43818,10028,33790,7868,25922,21783
2011,Products,iPad,,108249,64431,43818,10028,33790,7868,25922,19168
2011,Products,Accessories,,108249,64431,43818,10028,33790,7868,25922,11927
2011,Services,Services,,108249,64431,43818,10028,33790,7868,25922,9373
2010,Products,iPhone,,65225,39541,25684,7299,18385,4372,14013,25179
2010,Products,Mac,,65225,39541,25684,7299,18385,4372,14013,17479
2010,Products,iPad,,65225,39541,25684,7299,18385,4372,14013,4958
2010,Products,Accessories,,65225,39541,25684,7299,18385,4372,14013,
2010,Services,Services,,65225,39541,25684,7299,18385,4372,14013,
2009,Products,iPhone,,42905,25683,17222,5482,11740,3505,8235,13033
2009,Products,Mac,,42905,25683,17222,5482,11740,3505,8235,13859
2009,Products,iPad,,42905,25683,17222,5482,11740,3505,8235,0
2009,Products,Accessories,,42905,25683,17222,5482,11740,3505,8235,
2009,Services,Services,,42905,25683,17222,5482,11740,3505,8235,
2008,Products,iPhone,,37491,24294,13197,4870,8327,2208,6119,6742
2008,Products,Mac,,37491,24294,13197,4870,8327,2208,6119,14354
2008,Products,iPad,,37491,24294,13197,4870,8327,2208,6119,0
2008,Products,Accessories,,37491,24294,13197,4870,8327,2208,6119,
2008,Services,Services,,37491,24294,13197,4870,8327,2208,6119,
,,,,,,,,,,,
,,,,,,,,,Számolt érték (operating income - net income),,